anm	anm	kod	nod	vud	mdflw	rbf	
9.920000e-01	2.872024e-01	1.548631e-01	7.091050e-03	1.769831e-01	9.834849e-01	1.213466e+00	
9.930000e-01	2.886905e-01	1.525884e-01	6.287191e-03	1.709293e-01	9.780505e-01	1.211647e+00	
9.940000e-01	2.901786e-01	1.508464e-01	5.482752e-03	1.650475e-01	9.725993e-01	1.209834e+00	
9.950000e-01	2.916667e-01	1.490914e-01	4.677732e-03	1.591575e-01	9.671314e-01	1.208025e+00	
9.960000e-01	2.931548e-01	1.473215e-01	3.872129e-03	1.532588e-01	9.616467e-01	1.206223e+00	
9.970000e-01	2.946429e-01	1.455350e-01	3.065944e-03	1.473508e-01	9.561454e-01	1.204425e+00	
9.980000e-01	2.961310e-01	1.437294e-01	2.259176e-03	1.414326e-01	9.506275e-01	1.202633e+00	
9.990000e-01	2.976190e-01	1.419020e-01	1.451824e-03	1.355034e-01	9.450930e-01	1.200846e+00	
1.000000e+00	2.991071e-01	1.400497e-01	6.438872e-04	1.295621e-01	9.395419e-01	1.199065e+00	
1.001000e+00	3.005952e-01	1.382571e-01	1.000000e-09	1.247228e-01	9.339743e-01	1.197288e+00	
1.002000e+00	3.020833e-01	1.367994e-01	1.000000e-09	1.242419e-01	9.283903e-01	1.195518e+00	
1.003000e+00	3.035714e-01	1.353440e-01	1.000000e-09	1.237618e-01	9.227898e-01	1.193752e+00	
1.004000e+00	3.050595e-01	1.338908e-01	1.000000e-09	1.232825e-01	9.171729e-01	1.191991e+00	
1.005000e+00	3.065476e-01	1.324399e-01	1.000000e-09	1.228039e-01	9.115396e-01	1.190236e+00	
1.006000e+00	3.080357e-01	1.309913e-01	1.000000e-09	1.223260e-01	9.058900e-01	1.188486e+00	
1.007000e+00	3.095238e-01	1.295448e-01	1.000000e-09	1.218489e-01	9.002241e-01	1.186741e+00	
1.008000e+00	3.110119e-01	1.281006e-01	1.000000e-09	1.213725e-01	8.945419e-01	1.185001e+00	
1.009000e+00	3.125000e-01	1.266586e-01	1.000000e-09	1.208968e-01	8.888435e-01	1.183266e+00	
1.010000e+00	3.139881e-01	1.252189e-01	1.000000e-09	1.204219e-01	8.831290e-01	1.181536e+00	
