anpx	anpx	kod	nod	vud	mdflw	rbf	
8.000000e-01	1.954397e-01	2.265316e-01	4.290791e-02	6.004383e-01	1.357055e+00	1.231155e+00	
8.100000e-01	1.965255e-01	2.276793e-01	4.350379e-02	6.076969e-01	1.363415e+00	1.231380e+00	
8.200000e-01	1.976113e-01	2.288267e-01	4.409985e-02	6.149572e-01	1.369776e+00	1.231605e+00	
8.300000e-01	1.986971e-01	2.299740e-01	4.469609e-02	6.222194e-01	1.376140e+00	1.231829e+00	
8.400000e-01	1.997828e-01	2.311211e-01	4.529250e-02	6.294835e-01	1.382505e+00	1.232054e+00	
8.500000e-01	2.008686e-01	2.322680e-01	4.588908e-02	6.367494e-01	1.388873e+00	1.232279e+00	
8.600000e-01	2.019544e-01	2.334147e-01	4.648584e-02	6.440171e-01	1.395242e+00	1.232504e+00	
8.700000e-01	2.030402e-01	2.345614e-01	4.708277e-02	6.512867e-01	1.401613e+00	1.232729e+00	
8.800000e-01	2.041260e-01	2.357079e-01	4.767989e-02	6.585583e-01	1.407985e+00	1.232954e+00	
8.900000e-01	2.052117e-01	2.368543e-01	4.827717e-02	6.658317e-01	1.414360e+00	1.233180e+00	
9.000000e-01	2.062975e-01	2.380006e-01	4.887463e-02	6.731070e-01	1.420736e+00	1.233405e+00	
9.100000e-01	2.073833e-01	2.391469e-01	4.947227e-02	6.803842e-01	1.427115e+00	1.233631e+00	
9.200000e-01	2.084691e-01	2.402931e-01	5.007008e-02	6.876633e-01	1.433495e+00	1.233856e+00	
9.300000e-01	2.095548e-01	2.414392e-01	5.066807e-02	6.949444e-01	1.439877e+00	1.234082e+00	
9.400000e-01	2.106406e-01	2.425853e-01	5.126624e-02	7.022274e-01	1.446261e+00	1.234307e+00	
9.500000e-01	2.117264e-01	2.437314e-01	5.186458e-02	7.095123e-01	1.452647e+00	1.234533e+00	
9.600000e-01	2.128122e-01	2.448774e-01	5.246310e-02	7.167992e-01	1.459034e+00	1.234759e+00	
9.700000e-01	2.138979e-01	2.460235e-01	5.306179e-02	7.240881e-01	1.465424e+00	1.234985e+00	
9.800000e-01	2.149837e-01	2.471695e-01	5.366066e-02	7.313789e-01	1.471815e+00	1.235211e+00	
9.900000e-01	2.160695e-01	2.483156e-01	5.425971e-02	7.386717e-01	1.478208e+00	1.235437e+00	
1.000000e+00	2.171553e-01	2.494617e-01	5.485893e-02	7.459664e-01	1.484603e+00	1.235663e+00	
1.010000e+00	2.182410e-01	2.506078e-01	5.545833e-02	7.532632e-01	1.491000e+00	1.235889e+00	
1.020000e+00	2.193268e-01	2.517540e-01	5.605791e-02	7.605619e-01	1.497399e+00	1.236116e+00	
1.030000e+00	2.204126e-01	2.529002e-01	5.665766e-02	7.678626e-01	1.503800e+00	1.236342e+00	
1.040000e+00	2.214984e-01	2.540465e-01	5.725759e-02	7.751653e-01	1.510202e+00	1.236569e+00	
1.050000e+00	2.225841e-01	2.551929e-01	5.785770e-02	7.824700e-01	1.516607e+00	1.236795e+00	
1.060000e+00	2.236699e-01	2.563393e-01	5.845798e-02	7.897768e-01	1.523013e+00	1.237022e+00	
1.070000e+00	2.247557e-01	2.574858e-01	5.905845e-02	7.970855e-01	1.529421e+00	1.237249e+00	
1.080000e+00	2.258415e-01	2.586324e-01	5.965909e-02	8.043963e-01	1.535831e+00	1.237476e+00	
1.090000e+00	2.269273e-01	2.597790e-01	6.025990e-02	8.117091e-01	1.542243e+00	1.237703e+00	
1.100000e+00	2.280130e-01	2.609258e-01	6.086090e-02	8.190239e-01	1.548657e+00	1.237930e+00	
1.110000e+00	2.290988e-01	2.620727e-01	6.146207e-02	8.263408e-01	1.555072e+00	1.238157e+00	
1.120000e+00	2.301846e-01	2.632197e-01	6.206342e-02	8.336597e-01	1.561490e+00	1.238384e+00	
1.130000e+00	2.312704e-01	2.643668e-01	6.266495e-02	8.409806e-01	1.567909e+00	1.238611e+00	
1.140000e+00	2.323561e-01	2.655141e-01	6.326666e-02	8.483036e-01	1.574330e+00	1.238838e+00	
1.150000e+00	2.334419e-01	2.666614e-01	6.386854e-02	8.556287e-01	1.580754e+00	1.239066e+00	
