aum	aum	kod	nod	vud	mdflw	rbf	
2.310000e-01	1.154423e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.320000e-01	1.159420e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.330000e-01	1.164418e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.340000e-01	1.169415e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.350000e-01	1.174413e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.360000e-01	1.179410e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.370000e-01	1.184408e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.380000e-01	1.189405e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.390000e-01	1.194403e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.400000e-01	1.199400e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.410000e-01	1.204398e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
