cke	cke	kod	nod	vud	mdflw	rbf	
5.010000e+00	8.007968e-01	2.735519e-01	9.306690e-03	2.532139e-01	9.983964e-01	1.218516e+00	
5.020000e+00	8.047809e-01	2.759230e-01	9.306690e-03	2.545311e-01	9.983964e-01	1.218516e+00	
5.030000e+00	8.087649e-01	2.783079e-01	9.306690e-03	2.558561e-01	9.983964e-01	1.218516e+00	
5.040000e+00	8.127490e-01	2.807067e-01	9.306690e-03	2.571888e-01	9.983964e-01	1.218516e+00	
5.050000e+00	8.167331e-01	2.831194e-01	9.306690e-03	2.585292e-01	9.983964e-01	1.218516e+00	
5.060000e+00	8.207171e-01	2.855462e-01	9.306690e-03	2.598774e-01	9.983964e-01	1.218516e+00	
5.070000e+00	8.247012e-01	2.879870e-01	9.306690e-03	2.612334e-01	9.983964e-01	1.218516e+00	
5.080000e+00	8.286853e-01	2.904420e-01	9.306690e-03	2.625972e-01	9.983964e-01	1.218516e+00	
5.090000e+00	8.326693e-01	2.929110e-01	9.306690e-03	2.639690e-01	9.983964e-01	1.218516e+00	
5.100000e+00	8.366534e-01	2.953944e-01	9.306690e-03	2.653486e-01	9.983964e-01	1.218516e+00	
5.110000e+00	8.406375e-01	2.978920e-01	9.306690e-03	2.667361e-01	9.983964e-01	1.218516e+00	
5.120000e+00	8.446215e-01	3.004039e-01	9.306690e-03	2.681316e-01	9.983964e-01	1.218516e+00	
5.130000e+00	8.486056e-01	3.029302e-01	9.306690e-03	2.695351e-01	9.983964e-01	1.218516e+00	
5.140000e+00	8.525896e-01	3.054709e-01	9.306690e-03	2.709467e-01	9.983964e-01	1.218516e+00	
5.150000e+00	8.565737e-01	3.080262e-01	9.306690e-03	2.723663e-01	9.983964e-01	1.218516e+00	
5.160000e+00	8.605578e-01	3.105960e-01	9.306690e-03	2.737939e-01	9.983964e-01	1.218516e+00	
5.170000e+00	8.645418e-01	3.131804e-01	9.306690e-03	2.752297e-01	9.983964e-01	1.218516e+00	
5.180000e+00	8.685259e-01	3.157794e-01	9.306690e-03	2.766736e-01	9.983964e-01	1.218516e+00	
5.190000e+00	8.725100e-01	3.183932e-01	9.306690e-03	2.781257e-01	9.983964e-01	1.218516e+00	
5.200000e+00	8.764940e-01	3.210218e-01	9.306690e-03	2.795860e-01	9.983964e-01	1.218516e+00	
5.210000e+00	8.804781e-01	3.236652e-01	9.306690e-03	2.810546e-01	9.983964e-01	1.218516e+00	
5.220000e+00	8.844622e-01	3.263234e-01	9.306690e-03	2.825314e-01	9.983964e-01	1.218516e+00	
5.230000e+00	8.884462e-01	3.289967e-01	9.306690e-03	2.840165e-01	9.983964e-01	1.218516e+00	
5.240000e+00	8.924303e-01	3.316849e-01	9.306690e-03	2.855100e-01	9.983964e-01	1.218516e+00	
5.250000e+00	8.964143e-01	3.343882e-01	9.306690e-03	2.870118e-01	9.983964e-01	1.218516e+00	
5.260000e+00	9.003984e-01	3.371065e-01	9.306690e-03	2.885220e-01	9.983964e-01	1.218516e+00	
5.270000e+00	9.043825e-01	3.398401e-01	9.306690e-03	2.900407e-01	9.983964e-01	1.218516e+00	
5.280000e+00	9.083665e-01	3.425889e-01	9.306690e-03	2.915678e-01	9.983964e-01	1.218516e+00	
5.290000e+00	9.123506e-01	3.453529e-01	9.306690e-03	2.931034e-01	9.983964e-01	1.218516e+00	
5.300000e+00	9.163347e-01	3.481324e-01	9.306690e-03	2.946475e-01	9.983964e-01	1.218516e+00	
5.310000e+00	9.203187e-01	3.509271e-01	9.306690e-03	2.962001e-01	9.983964e-01	1.218516e+00	
5.320000e+00	9.243028e-01	3.537374e-01	9.306690e-03	2.977614e-01	9.983964e-01	1.218516e+00	
5.330000e+00	9.282869e-01	3.565632e-01	9.306690e-03	2.993312e-01	9.983964e-01	1.218516e+00	
5.340000e+00	9.322709e-01	3.594045e-01	9.306690e-03	3.009098e-01	9.983964e-01	1.218516e+00	
5.350000e+00	9.362550e-01	3.622614e-01	9.306690e-03	3.024970e-01	9.983964e-01	1.218516e+00	
5.360000e+00	9.402390e-01	3.651341e-01	9.306690e-03	3.040929e-01	9.983964e-01	1.218516e+00	
5.370000e+00	9.442231e-01	3.680225e-01	9.306690e-03	3.056975e-01	9.983964e-01	1.218516e+00	
5.380000e+00	9.482072e-01	3.709266e-01	9.306690e-03	3.073110e-01	9.983964e-01	1.218516e+00	
5.390000e+00	9.521912e-01	3.738467e-01	9.306690e-03	3.089332e-01	9.983964e-01	1.218516e+00	
5.400000e+00	9.561753e-01	3.767826e-01	9.306690e-03	3.105643e-01	9.983964e-01	1.218516e+00	
5.410000e+00	9.601594e-01	3.797345e-01	9.306690e-03	3.122042e-01	9.983964e-01	1.218516e+00	
